seeds: 280775197 7535297 3229061264 27275209 77896732 178275214 2748861189 424413807 3663093536 130341162 613340959 352550713 1532286286 1115055792 1075412586 241030710 3430371306 138606714 412141395 146351614

seed-to-soil map:
3464645820 3633779898 112824320
1132250794 2637724313 45887006
1178137800 0 135850967
810899989 2295076898 321350805
3706800774 4118877604 99172458
3805973232 4218050062 17186653
3823159885 3746604218 37073582
2305284688 135850967 719035066
3146779680 1826638689 111939397
3024319754 2172616972 122459926
3959767492 3783677800 335199804
3934534290 4235236715 25233202
408129309 854886033 402770680
3258719077 2616427703 21296610
3577470140 3504449264 129330634
367037944 3238924322 41091365
3860233467 4260469917 34497379
3894730846 3464645820 39803444
0 3017611834 221312488
2030800246 2707086691 274484442

water-to-light map:
3878354467 2554575322 61538919
280412900 1377596407 93760042
684284359 195116588 99127467
4078572373 3977755696 216394923
2619535971 3527291682 385503365
1493593206 1581399685 135608385
3693719871 2668857297 184634596
2554575322 3912795047 64960649
3236793954 2853491893 456925917
817630982 1044576172 333020235
1205196262 294244055 132442996
1739244827 1012243273 32332899
1771577726 0 101384292
0 101384292 4968095
101989723 448809000 178423177
4019116409 4194150619 21593654
4040710063 3489429372 37862310
4968095 627232177 97021628
374172942 724253805 287989468
783411826 106352387 34219156
3005039336 2616114241 52743056
3939893386 4215744273 79223023
1629201591 1471356449 110043236
3057782392 3310417810 179011562
1337639258 1717008070 155953948
1150651217 140571543 54545045
662162410 426687051 22121949

light-to-temperature map:
2762906378 2204259687 134492279
106349111 681820034 721307054
997408643 115890239 153244527
1512335036 1822350940 381908747
3858505517 4045949291 249018005
1894243783 3569882248 437693111
3820131585 4007575359 38373932
1505707247 3508506612 6627789
2693538653 3439138887 69367725
3029056394 2470409703 186112104
54501260 269134766 51847851
1452421821 3193053968 53285426
850537566 0 115890239
4107523522 3246339394 159303690
4266827212 3164913884 28140084
0 447698702 54501260
3450202466 1452421821 369929119
2897398657 2338751966 131657737
966427805 650839196 30980838
2331936894 3515134401 54747847
2420180544 2656521807 273358109
1206941949 502199962 83686237
1150653170 320982617 56288779
1361055492 585886199 42071596
1290628186 377271396 70427306
2386684741 3405643084 33495803
827656165 627957795 22881401
3215168498 2929879916 235033968

temperature-to-humidity map:
3512511508 3713321076 246696808
1575177202 3115625465 474937809
4090629460 2000274085 135040194
1141835951 1250511056 29255284
151257068 40127528 247347323
796868343 1046685126 203825930
32926673 475089348 115925678
3091489330 2135314279 421022178
4225669654 1871071039 45515305
4018596644 1533302854 72032816
2105871498 1332898874 176621643
398604391 732156704 170521927
2475375726 4289723131 5244165
4271184959 1509520517 23782337
2480619891 2698929267 337643768
3911645962 1605335670 55526138
3759208316 3590563274 122757802
3058110291 3082246426 33379039
1404278872 1916586344 83687741
15821415 1279766340 17105258
0 902678631 15821415
148852351 943795712 2404717
2966942025 2607761001 91168266
1308993408 3036573035 45673391
1000694273 591015026 141141678
756740815 0 40127528
3881966118 1308993408 23905466
1171091235 918500046 25295666
1539650216 3960017884 35526986
1354666799 4047228473 49612073
3905871584 1865296661 5774378
3967172100 2556336457 51424544
2050115011 1809540174 55756487
1487966613 3995544870 51683603
2818263659 1660861808 148678366
569126318 287474851 187614497
2282493141 4096840546 192882585
1196386901 946200429 100484697

humidity-to-location map:
1176010827 433228953 11431675
3343304446 3212529205 243926878
3019400776 2809960450 121184456
598353273 717816068 6343029
2345678711 3761800910 44017519
2389696230 4104193148 30873153
334421220 1167819222 181559786
2083857214 2364759797 169609191
169788889 1665299576 164632331
1547379326 837819247 83916771
636928438 1349379008 3985237
1997878235 4242793968 52173328
4036700740 3456456083 70103553
1701551461 724159097 55714896
2050051563 4072991568 31201580
1495464492 0 51914834
1771229473 779873993 57945254
1757266357 444660628 13963116
640913675 1829931907 79566117
604696302 1135587086 32232136
2790976533 2058196402 571198
0 183116767 169788889
581107897 458623744 17245376
1032415123 921736018 143595704
2880695042 3109061793 3719369
3596511671 3547168702 214632208
1989658157 4064771490 8220078
2791547731 1989658157 68538245
1631296097 1065331722 70255364
2253466405 2606294055 92212306
2591363195 3865158152 199613338
2532023472 3805818429 59339723
1253517544 475869120 241946948
3811143879 2058767600 225556861
3334473574 2931144906 8830872
720479792 1353364245 311935331
2420569383 2698506361 111454089
2081253143 2603689984 2604071
3140585232 2939975778 159805668
2860085976 3526559636 20609066
1829174727 352905656 80323297
515981006 117989876 65126891
3587231324 3099781446 9280347
1187442502 51914834 66075042
2953735407 3112781162 65665369
4187239629 4135066301 107727667
3300390900 3178446531 34082674
2884414411 2534368988 69320996
4106804293 2284324461 80435336
