x=647, y=567..595
y=875, x=558..570
x=648, y=481..505
x=603, y=1566..1577
x=470, y=341..352
x=573, y=1031..1041
x=462, y=1545..1566
y=980, x=474..479
x=552, y=1130..1132
x=552, y=1758..1760
y=706, x=605..628
x=533, y=1332..1334
x=510, y=445..456
x=627, y=1583..1591
y=121, x=470..473
x=470, y=157..168
x=633, y=1504..1514
x=504, y=1754..1767
x=663, y=394..398
x=588, y=937..945
x=664, y=316..331
x=636, y=1627..1640
y=1658, x=618..623
x=609, y=669..685
y=821, x=528..546
x=487, y=322..332
x=566, y=1819..1827
x=486, y=1339..1346
x=505, y=1042..1045
y=1637, x=623..629
y=91, x=562..565
x=461, y=595..600
y=304, x=524..547
y=237, x=589..596
x=563, y=1752..1767
x=506, y=302..314
y=790, x=604..607
y=715, x=529..531
x=522, y=438..441
x=589, y=235..237
x=623, y=644..658
y=1398, x=518..545
x=642, y=238..239
x=524, y=158..175
x=513, y=594..599
x=622, y=1080..1082
y=788, x=604..607
x=569, y=49..73
x=450, y=777..804
y=1480, x=599..604
x=491, y=69..80
x=658, y=782..790
x=633, y=1455..1468
x=463, y=205..207
y=465, x=609..612
y=101, x=466..471
x=619, y=1501..1511
y=1913, x=675..679
x=506, y=1413..1423
y=1100, x=540..570
x=657, y=1165..1185
y=1724, x=584..597
y=1680, x=557..559
y=1859, x=633..652
y=1520, x=478..483
x=670, y=1346..1350
x=671, y=1758..1778
x=460, y=223..234
x=499, y=1184..1193
x=649, y=1480..1492
y=862, x=628..646
y=410, x=559..578
y=238, x=499..504
x=612, y=463..465
y=818, x=538..540
x=533, y=667..676
x=522, y=579..581
x=595, y=364..368
x=497, y=868..876
x=653, y=316..331
y=237, x=662..673
x=553, y=475..487
x=595, y=1790..1811
x=450, y=990..1001
x=635, y=711..722
x=600, y=1140..1154
x=528, y=810..821
x=564, y=917..922
x=513, y=574..584
y=994, x=489..491
x=507, y=265..276
x=674, y=383..405
x=460, y=270..291
y=1251, x=500..502
x=642, y=150..168
x=632, y=1349..1359
x=528, y=1516..1518
x=531, y=976..984
y=567, x=651..658
x=555, y=1686..1688
x=617, y=484..486
x=562, y=513..533
y=907, x=493..547
x=645, y=1809..1813
y=933, x=449..477
x=476, y=1535..1544
y=1324, x=585..588
x=565, y=685..710
x=614, y=1163..1176
y=571, x=580..592
y=1336, x=574..594
y=1724, x=610..613
x=602, y=1185..1195
y=412, x=456..495
x=653, y=1697..1705
x=483, y=1513..1520
y=1720, x=610..613
x=539, y=1000..1011
x=501, y=133..147
x=661, y=1211..1219
y=777, x=525..531
x=504, y=687..697
y=676, x=537..552
x=597, y=1187..1200
x=496, y=1411..1422
x=489, y=242..255
x=667, y=1411..1420
x=529, y=1716..1719
x=479, y=1210..1222
x=535, y=204..222
x=620, y=1604..1617
y=1134, x=520..522
x=614, y=1883..1911
x=676, y=1886..1899
x=649, y=1239..1243
x=667, y=1588..1597
x=555, y=1130..1132
x=531, y=1471..1490
x=550, y=1839..1864
x=511, y=1864..1868
x=471, y=90..101
x=558, y=860..875
y=1116, x=640..655
x=502, y=361..373
x=594, y=1316..1336
y=602, x=504..519
y=1461, x=593..602
x=679, y=1589..1597
y=1785, x=648..659
x=592, y=643..655
x=529, y=1262..1277
x=628, y=700..706
y=61, x=671..675
y=288, x=591..593
x=562, y=1342..1367
x=659, y=1780..1785
x=560, y=1448..1462
x=583, y=227..240
x=658, y=268..282
x=623, y=1658..1660
x=646, y=1644..1665
x=590, y=917..922
y=1638, x=642..670
x=623, y=457..475
y=430, x=599..601
x=623, y=1457..1464
x=492, y=156..168
x=552, y=601..624
y=987, x=651..660
x=603, y=123..150
x=685, y=1906..1919
x=595, y=1881..1892
x=533, y=1058..1068
y=309, x=498..500
x=635, y=497..506
x=576, y=1846..1852
x=488, y=1166..1179
y=1130, x=552..555
x=560, y=1490..1501
x=517, y=1782..1797
x=492, y=571..580
x=522, y=1132..1134
x=541, y=134..145
x=500, y=300..309
x=472, y=283..295
y=847, x=557..560
x=620, y=1761..1772
x=492, y=730..741
y=1660, x=483..489
x=550, y=1781..1795
x=593, y=882..902
y=1625, x=544..553
y=1459, x=457..465
x=668, y=938..962
y=1626, x=495..513
x=675, y=1072..1080
x=640, y=644..658
x=470, y=1344..1346
x=594, y=863..866
x=533, y=873..886
x=622, y=1586..1595
x=524, y=371..386
x=593, y=1459..1461
x=628, y=1325..1334
x=620, y=1370..1383
y=805, x=476..501
y=1817, x=632..652
y=1907, x=492..503
y=1595, x=622..641
x=551, y=1569..1594
y=1304, x=517..524
y=1490, x=527..531
y=282, x=658..671
y=1889, x=513..522
x=506, y=1071..1081
x=620, y=347..360
x=531, y=128..150
x=626, y=1501..1511
y=945, x=586..588
x=547, y=1866..1869
y=1023, x=533..543
y=1553, x=547..559
x=679, y=1913..1915
x=652, y=1803..1817
x=495, y=131..144
y=1205, x=477..480
y=114, x=625..627
x=501, y=814..818
x=580, y=1301..1302
x=650, y=1571..1597
y=581, x=565..574
x=613, y=1503..1514
x=534, y=850..858
y=1402, x=636..659
x=506, y=1509..1537
x=510, y=29..40
x=593, y=288..291
x=524, y=579..581
x=533, y=486..500
y=845, x=530..543
y=632, x=449..462
x=651, y=179..187
x=628, y=1601..1614
x=603, y=221..223
x=617, y=208..216
y=536, x=628..647
x=509, y=1368..1370
x=558, y=1491..1501
y=836, x=504..507
x=567, y=25..30
y=398, x=658..663
y=49, x=473..477
x=637, y=919..920
x=557, y=1014..1026
y=1359, x=632..654
y=658, x=517..541
y=177, x=585..600
x=457, y=1450..1459
x=490, y=507..513
x=533, y=1021..1023
x=516, y=31..45
y=397, x=594..608
x=548, y=1680..1686
y=93, x=667..677
x=668, y=1518..1530
y=1202, x=459..467
x=544, y=995..1007
x=644, y=1170..1175
x=588, y=612..621
y=1660, x=618..623
y=1024, x=609..626
x=574, y=1315..1336
x=508, y=53..57
x=539, y=940..943
x=508, y=1491..1495
x=511, y=811..822
y=1577, x=603..622
y=866, x=594..612
x=615, y=498..521
x=646, y=1019..1029
x=602, y=1268..1277
y=239, x=652..658
y=25, x=567..573
y=919, x=617..623
x=610, y=255..275
x=483, y=1427..1435
x=487, y=342..352
x=584, y=1719..1724
x=628, y=1102..1112
x=594, y=1672..1696
y=1030, x=666..669
x=544, y=1615..1625
x=474, y=72..81
x=630, y=1763..1776
y=1197, x=535..545
x=627, y=1199..1215
x=519, y=772..782
y=1577, x=542..545
x=487, y=1096..1109
y=167, x=542..570
x=591, y=36..44
x=627, y=104..114
x=499, y=1545..1571
x=604, y=1339..1348
x=545, y=1354..1380
x=568, y=342..355
y=187, x=649..651
x=601, y=1672..1696
y=1514, x=613..633
y=1065, x=520..527
x=584, y=272..296
x=522, y=340..354
y=1810, x=531..544
y=655, x=592..599
x=557, y=494..520
x=570, y=859..875
y=1082, x=635..643
x=505, y=848..861
x=533, y=902..904
y=30, x=567..573
x=510, y=872..886
x=494, y=571..580
x=586, y=1270..1274
y=1431, x=549..554
y=1714, x=563..575
x=492, y=1880..1907
x=640, y=482..496
x=645, y=539..559
y=768, x=614..627
x=585, y=175..177
y=668, x=492..494
x=645, y=481..496
x=475, y=339..349
x=511, y=217..235
x=465, y=317..344
x=524, y=664..673
x=609, y=463..465
x=531, y=713..715
x=463, y=1066..1072
x=657, y=1049..1050
x=549, y=62..73
y=653, x=464..479
x=587, y=1614..1630
x=672, y=822..847
x=626, y=711..722
y=1903, x=519..521
x=478, y=1514..1520
y=1829, x=464..484
x=477, y=1790..1798
y=370, x=482..488
x=606, y=838..859
x=658, y=213..239
x=456, y=1213..1223
x=550, y=591..594
y=546, x=463..489
y=1112, x=621..628
x=456, y=399..412
y=620, x=668..675
y=768, x=638..652
x=564, y=962..964
x=463, y=529..546
x=473, y=109..121
y=1053, x=590..604
x=641, y=1698..1705
y=230, x=482..506
x=505, y=750..760
x=666, y=1048..1050
x=454, y=944..966
x=482, y=1062..1064
x=672, y=1411..1420
x=643, y=1477..1489
x=479, y=1874..1876
x=570, y=636..658
x=540, y=533..549
x=582, y=816..828
y=1219, x=661..681
y=922, x=564..590
y=487, x=541..553
x=667, y=83..93
y=1869, x=542..547
x=610, y=348..360
x=636, y=1392..1402
x=572, y=1649..1650
x=568, y=223..234
x=470, y=109..121
x=479, y=1621..1642
x=638, y=1674..1687
y=882, x=487..505
x=677, y=84..93
x=465, y=380..392
x=590, y=1230..1242
y=794, x=588..614
x=635, y=1525..1534
y=1591, x=627..635
y=1511, x=619..626
x=489, y=303..314
x=565, y=88..91
y=259, x=657..676
y=293, x=529..538
y=1617, x=520..523
x=476, y=803..805
y=559, x=635..645
x=494, y=868..876
y=1132, x=468..487
x=496, y=1360..1374
x=451, y=685..695
y=119, x=507..529
x=576, y=296..302
x=601, y=364..368
y=721, x=642..656
y=459, x=554..564
x=526, y=664..673
y=1222, x=479..600
x=573, y=431..433
x=582, y=532..547
x=479, y=1118..1126
x=551, y=398..404
x=449, y=1606..1613
y=1253, x=545..570
y=685, x=603..609
x=587, y=137..155
x=642, y=414..420
x=489, y=990..994
y=1767, x=489..504
x=457, y=595..600
x=561, y=1120..1136
y=693, x=514..519
x=571, y=514..533
x=655, y=1092..1116
x=496, y=811..822
x=524, y=299..304
x=633, y=1788..1792
x=520, y=1599..1617
y=1080, x=664..675
x=659, y=1615..1624
x=655, y=99..103
x=629, y=237..239
x=664, y=661..663
y=360, x=610..620
x=589, y=585..594
x=626, y=1165..1186
y=959, x=656..658
x=537, y=670..676
x=555, y=22..36
x=493, y=610..622
x=485, y=447..456
x=618, y=612..621
x=622, y=1784..1795
x=530, y=827..845
y=1562, x=527..540
x=573, y=973..976
x=624, y=729..741
y=21, x=499..518
y=1560, x=657..667
y=212, x=451..471
x=637, y=830..836
x=675, y=1165..1185
y=603, x=663..669
x=670, y=1637..1638
x=556, y=322..331
y=1173, x=593..599
y=1310, x=629..631
y=872, x=446..459
x=635, y=1283..1293
x=628, y=1348..1356
x=493, y=131..144
y=520, x=555..557
x=478, y=1391..1400
x=561, y=1306..1323
x=671, y=1841..1851
y=882, x=522..525
x=574, y=136..155
x=494, y=1028..1047
y=1042, x=505..507
x=570, y=323..331
y=1813, x=642..645
x=534, y=918..929
y=1904, x=538..542
x=640, y=1519..1530
x=673, y=1266..1291
x=536, y=976..984
x=488, y=1187..1199
x=500, y=1781..1797
y=1797, x=500..517
x=600, y=1424..1438
x=613, y=255..275
x=671, y=267..282
y=1844, x=534..537
x=475, y=1584..1591
x=505, y=790..800
y=614, x=642..644
x=512, y=729..741
y=584, x=513..533
x=624, y=1200..1215
x=635, y=1583..1591
y=81, x=450..474
x=630, y=912..931
y=1852, x=576..589
y=1526, x=550..564
x=601, y=1603..1612
y=496, x=640..645
x=556, y=430..433
y=1851, x=665..671
x=482, y=364..370
x=551, y=219..245
x=638, y=172..192
y=456, x=490..510
x=599, y=870..876
x=633, y=497..506
y=1223, x=456..464
y=133, x=448..454
x=682, y=758..774
x=599, y=430..435
x=460, y=1791..1798
y=595, x=632..647
y=1291, x=669..673
x=502, y=1238..1251
x=579, y=1722..1734
y=1374, x=496..517
x=628, y=1697..1709
x=448, y=109..133
y=1498, x=499..517
x=508, y=424..436
y=1571, x=499..517
x=542, y=1877..1904
y=1246, x=642..662
y=594, x=579..589
x=484, y=863..891
x=546, y=811..821
y=355, x=568..570
y=1613, x=449..468
x=536, y=1751..1767
x=519, y=691..693
y=1518, x=528..532
x=651, y=540..567
x=628, y=808..816
x=583, y=1522..1537
x=448, y=1262..1266
x=640, y=297..314
y=1435, x=456..483
x=544, y=1120..1136
x=510, y=1491..1495
x=662, y=171..192
y=1277, x=529..546
x=581, y=1147..1150
x=513, y=1878..1889
x=529, y=114..119
x=649, y=179..187
y=1640, x=618..636
x=660, y=966..987
x=511, y=487..500
x=505, y=871..882
x=639, y=1327..1337
y=1788, x=633..636
y=404, x=547..551
x=524, y=217..235
x=545, y=20..47
x=464, y=1809..1829
x=507, y=827..836
x=556, y=650..654
y=1195, x=602..607
x=591, y=1424..1438
y=1274, x=586..592
x=611, y=445..449
x=567, y=1386..1389
x=621, y=122..150
x=459, y=316..344
x=520, y=1056..1065
y=1353, x=451..479
x=538, y=311..334
y=1185, x=657..675
x=583, y=1654..1677
y=1530, x=640..668
x=560, y=822..847
x=483, y=1640..1660
x=498, y=1036..1048
x=648, y=1779..1785
y=1176, x=587..614
x=543, y=827..845
x=620, y=1012..1014
x=599, y=272..296
x=568, y=962..964
y=291, x=460..462
y=1760, x=544..552
x=471, y=201..212
x=521, y=1636..1638
x=474, y=1824..1826
x=451, y=1326..1353
y=205, x=461..463
y=905, x=638..640
x=675, y=59..61
x=662, y=21..26
x=675, y=514..527
y=474, x=515..517
x=503, y=1880..1907
x=506, y=957..970
x=577, y=1401..1406
y=1686, x=530..548
x=484, y=825..836
y=1389, x=567..587
y=962, x=651..668
y=1126, x=592..608
x=588, y=775..794
x=491, y=695..713
x=657, y=1554..1560
x=626, y=1249..1262
x=468, y=7..23
y=453, x=501..503
y=619, x=538..542
y=405, x=652..674
x=535, y=1568..1594
x=611, y=1230..1242
y=1136, x=544..561
x=473, y=42..49
y=739, x=583..597
x=645, y=1101..1104
y=990, x=489..491
x=564, y=453..459
x=527, y=1411..1428
y=1126, x=447..451
y=1078, x=453..470
y=1136, x=450..454
y=320, x=577..592
x=571, y=482..507
x=538, y=1503..1521
y=1317, x=617..637
y=1856, x=492..520
y=1266, x=448..474
x=477, y=1483..1498
y=861, x=505..521
x=516, y=767..771
y=45, x=497..516
y=1242, x=590..611
x=592, y=92..107
y=1082, x=622..624
x=464, y=648..653
x=557, y=1669..1680
x=653, y=1164..1186
y=677, x=476..500
y=489, x=607..624
x=467, y=241..255
x=545, y=636..658
x=663, y=515..527
x=482, y=281..292
y=65, x=580..596
y=920, x=633..637
x=633, y=893..911
y=667, x=657..674
x=502, y=466..477
y=1348, x=604..608
x=588, y=1096..1109
y=1597, x=667..679
y=222, x=535..547
x=593, y=1171..1173
x=555, y=532..549
x=584, y=1447..1462
x=586, y=937..945
x=661, y=1570..1597
x=474, y=961..980
x=659, y=1413..1425
y=1670, x=451..460
x=655, y=1616..1624
y=54, x=622..643
x=562, y=88..91
x=609, y=410..438
y=506, x=633..635
x=626, y=1457..1464
x=601, y=609..625
x=547, y=399..404
y=636, x=530..535
x=530, y=1680..1686
x=570, y=164..167
x=503, y=390..392
x=461, y=93..104
x=545, y=1233..1253
x=609, y=1564..1573
x=530, y=609..636
x=508, y=1071..1081
x=539, y=902..904
x=517, y=1300..1304
x=593, y=837..859
y=836, x=477..484
x=597, y=1719..1724
x=656, y=951..959
x=638, y=1603..1617
y=1758, x=544..552
x=622, y=1435..1447
x=667, y=1554..1560
x=497, y=72..85
y=192, x=638..662
x=553, y=532..549
x=654, y=1348..1359
x=515, y=955..967
x=543, y=592..594
x=643, y=37..54
x=479, y=648..653
x=481, y=1140..1154
x=605, y=897..899
x=618, y=1658..1660
y=47, x=537..545
x=545, y=1171..1197
x=622, y=1825..1838
x=628, y=367..394
x=456, y=1428..1435
x=627, y=1402..1422
y=433, x=556..573
x=500, y=390..392
y=911, x=633..648
y=1104, x=645..649
x=525, y=777..779
x=637, y=607..633
x=634, y=798..810
x=543, y=1715..1719
x=469, y=1165..1179
x=486, y=1062..1064
y=1481, x=484..498
x=489, y=1754..1767
x=644, y=614..617
x=587, y=1387..1389
y=1277, x=575..602
x=579, y=586..594
x=662, y=1235..1246
y=940, x=531..539
x=484, y=1463..1481
x=667, y=21..26
y=695, x=451..459
y=1002, x=470..497
x=642, y=1809..1813
x=595, y=9..12
y=1202, x=516..529
y=1617, x=620..638
y=1066, x=461..463
x=568, y=1761..1765
x=612, y=863..866
x=616, y=1188..1200
x=450, y=1133..1136
x=517, y=1487..1498
x=498, y=320..329
y=1109, x=487..588
x=671, y=59..61
y=621, x=606..618
y=876, x=582..599
x=560, y=50..73
x=525, y=311..334
y=904, x=533..539
x=453, y=1063..1078
y=1333, x=585..588
y=1307, x=457..482
x=569, y=1654..1677
x=602, y=1458..1461
y=1776, x=613..630
y=124, x=465..482
x=537, y=771..782
y=334, x=525..538
y=521, x=615..625
x=590, y=444..449
y=26, x=662..667
y=1826, x=474..476
x=469, y=1029..1047
x=465, y=1344..1346
x=490, y=446..456
x=642, y=614..617
x=533, y=371..386
y=1864, x=550..570
x=599, y=1542..1568
x=573, y=25..30
y=1457, x=623..626
x=622, y=1545..1556
y=390, x=500..503
y=782, x=519..537
x=608, y=1113..1126
x=681, y=1800..1802
x=533, y=1723..1740
x=483, y=378..395
x=663, y=583..603
x=588, y=1324..1333
y=947, x=523..566
y=1730, x=600..620
x=560, y=1613..1630
x=499, y=1488..1498
y=1367, x=562..587
x=614, y=774..794
y=272, x=499..501
x=477, y=1201..1205
y=420, x=642..652
y=111, x=537..555
y=886, x=510..533
y=859, x=593..606
x=600, y=1249..1262
x=571, y=974..976
x=492, y=530..542
x=538, y=609..619
x=592, y=1270..1274
x=595, y=1541..1568
x=504, y=237..238
x=604, y=531..547
x=601, y=457..475
y=275, x=610..613
x=608, y=1338..1348
y=612, x=588..590
x=517, y=955..967
x=482, y=208..230
y=392, x=465..480
y=1916, x=556..579
y=165, x=475..477
y=970, x=506..523
x=583, y=711..739
y=1642, x=471..479
x=517, y=1360..1374
x=514, y=1059..1068
x=629, y=1806..1811
y=1007, x=544..562
x=451, y=200..212
x=647, y=530..536
x=602, y=897..899
x=523, y=936..947
x=575, y=1705..1714
x=537, y=19..47
x=503, y=52..62
y=1834, x=631..634
y=804, x=450..454
x=588, y=1801..1803
y=816, x=604..628
x=651, y=966..987
x=502, y=159..175
x=570, y=1838..1864
x=616, y=1012..1014
x=663, y=1801..1802
x=648, y=275..277
x=570, y=1233..1253
x=624, y=478..489
x=497, y=32..45
y=984, x=531..536
x=450, y=1545..1566
x=540, y=849..858
x=507, y=1579..1583
x=674, y=649..667
x=517, y=1544..1571
y=1795, x=622..644
x=480, y=380..392
y=302, x=565..576
y=1638, x=506..521
x=581, y=929..952
x=622, y=37..54
x=669, y=1267..1291
y=1072, x=461..463
x=541, y=1461..1480
y=1081, x=506..508
x=465, y=112..124
y=1302, x=580..596
x=463, y=1872..1898
y=331, x=653..664
y=910, x=557..566
y=1892, x=585..595
x=614, y=1698..1709
y=1029, x=633..646
x=471, y=1622..1642
x=499, y=8..21
y=951, x=656..658
x=625, y=1349..1356
x=529, y=284..293
y=840, x=496..513
x=609, y=129..137
x=633, y=250..253
x=603, y=228..240
x=586, y=1801..1803
x=498, y=1464..1481
y=1423, x=506..513
y=1422, x=485..496
x=464, y=990..1001
x=496, y=829..840
x=585, y=1760..1765
x=580, y=609..625
x=467, y=429..431
y=733, x=531..547
y=435, x=599..601
x=520, y=1845..1856
x=632, y=323..340
x=533, y=573..584
x=454, y=1132..1136
x=457, y=897..915
x=599, y=1171..1173
x=590, y=612..621
y=1026, x=508..557
x=500, y=1578..1583
x=644, y=1371..1383
y=1915, x=675..679
x=477, y=429..431
y=331, x=556..570
x=514, y=1036..1048
x=550, y=1247..1249
y=533, x=562..571
x=524, y=1301..1304
x=520, y=1509..1537
x=462, y=855..880
x=556, y=1892..1916
y=477, x=502..524
x=648, y=893..911
y=1346, x=486..513
x=564, y=1508..1526
y=1170, x=644..646
x=510, y=53..57
x=529, y=1177..1202
x=508, y=5..16
x=544, y=1758..1760
y=1435, x=573..575
x=521, y=508..521
x=632, y=1680..1682
y=340, x=632..644
y=296, x=584..599
x=656, y=799..810
x=669, y=582..603
x=469, y=969..978
x=545, y=175..197
y=234, x=460..479
y=1447, x=622..669
x=561, y=1049..1059
x=538, y=808..818
x=459, y=847..872
y=836, x=614..637
y=880, x=522..525
x=513, y=830..840
x=646, y=860..862
x=597, y=1602..1612
x=657, y=140..166
x=462, y=269..291
x=523, y=958..970
x=582, y=91..107
x=611, y=882..902
x=492, y=1846..1856
x=557, y=1567..1587
y=1425, x=659..678
y=1400, x=478..491
y=676, x=515..533
x=467, y=896..915
y=634, x=518..520
x=461, y=1066..1072
x=626, y=1007..1024
x=475, y=162..165
y=1059, x=542..561
x=577, y=220..245
x=451, y=1122..1126
x=507, y=113..119
x=569, y=175..197
x=629, y=1301..1310
x=606, y=613..621
x=581, y=410..438
x=577, y=314..320
x=498, y=300..309
y=1370, x=506..509
x=630, y=1680..1682
x=527, y=628..637
x=543, y=1021..1023
y=1566, x=450..462
y=1597, x=650..661
y=314, x=489..506
x=542, y=1048..1059
x=516, y=1177..1202
x=559, y=400..410
y=80, x=486..491
x=669, y=1434..1447
x=570, y=1100..1106
y=1293, x=470..635
y=736, x=504..506
x=472, y=1483..1498
x=634, y=1832..1834
y=1011, x=525..539
y=779, x=525..531
y=107, x=582..592
y=1531, x=623..625
x=543, y=979..990
y=818, x=501..503
y=239, x=629..642
x=486, y=69..80
y=1422, x=619..627
y=1068, x=514..533
x=608, y=1864..1876
y=1801, x=586..588
x=484, y=1810..1829
x=608, y=380..397
x=647, y=1239..1243
y=1462, x=560..584
x=603, y=911..931
x=537, y=1461..1480
y=1050, x=657..666
x=521, y=848..861
y=966, x=454..459
x=468, y=1120..1132
x=658, y=951..959
x=617, y=919..923
x=657, y=649..667
x=652, y=383..405
x=454, y=108..133
x=517, y=647..658
y=85, x=480..497
x=613, y=1764..1776
y=292, x=480..482
y=395, x=483..509
x=453, y=34..61
y=104, x=461..480
x=635, y=100..103
y=774, x=672..682
x=624, y=1080..1082
y=1630, x=560..587
x=488, y=364..370
x=643, y=1544..1556
y=418, x=500..514
x=608, y=1806..1811
x=525, y=751..760
y=632, x=518..520
x=493, y=896..907
y=952, x=581..596
y=902, x=593..611
y=1705, x=641..653
x=527, y=1470..1490
x=622, y=1567..1577
y=295, x=472..489
y=1181, x=459..464
y=968, x=556..577
y=622, x=493..517
y=1687, x=622..638
x=614, y=831..836
x=681, y=1211..1219
y=1802, x=663..681
x=547, y=204..222
y=394, x=628..637
x=658, y=67..70
x=469, y=1517..1536
x=549, y=1410..1431
y=1323, x=542..561
x=525, y=880..882
x=565, y=296..302
x=642, y=1636..1638
x=641, y=1825..1838
y=1420, x=667..672
x=461, y=205..207
x=613, y=1720..1724
x=473, y=627..637
y=223, x=603..626
x=570, y=341..355
y=1193, x=497..499
x=450, y=73..81
x=518, y=1397..1398
x=580, y=59..65
x=448, y=1584..1591
y=1064, x=482..486
x=649, y=1101..1104
x=479, y=224..234
x=640, y=905..907
x=589, y=985..989
y=438, x=581..609
x=563, y=1705..1714
y=1537, x=579..583
x=632, y=567..595
x=542, y=1577..1589
x=600, y=1717..1730
y=449, x=590..611
y=617, x=642..644
x=649, y=250..253
x=641, y=1585..1595
x=499, y=262..272
y=1827, x=566..579
x=512, y=5..16
x=682, y=1487..1494
x=603, y=668..685
x=576, y=815..828
x=479, y=1327..1353
x=574, y=571..581
x=540, y=808..818
y=73, x=560..569
y=1767, x=536..563
x=500, y=1238..1251
x=465, y=447..456
x=525, y=688..697
y=500, x=511..533
x=592, y=558..571
y=741, x=622..624
x=672, y=757..774
x=479, y=960..980
x=633, y=1848..1859
y=1838, x=622..641
y=1321, x=500..515
x=579, y=329..351
y=891, x=477..484
y=1677, x=569..583
x=506, y=727..736
x=625, y=499..521
x=495, y=1613..1626
y=354, x=522..540
x=651, y=939..962
x=518, y=632..634
x=508, y=29..40
x=494, y=666..668
y=713, x=468..491
x=522, y=880..882
x=673, y=781..790
x=501, y=509..521
x=459, y=1188..1202
x=479, y=8..23
x=480, y=281..292
y=943, x=531..539
x=622, y=729..741
x=482, y=111..124
x=468, y=695..713
x=607, y=1185..1195
y=1001, x=450..464
y=581, x=522..524
y=314, x=634..640
y=166, x=657..671
y=137, x=609..611
x=638, y=749..768
x=594, y=330..351
x=673, y=211..237
x=506, y=1636..1638
x=465, y=1449..1459
x=501, y=574..583
y=1624, x=655..659
x=578, y=401..410
y=197, x=545..569
x=481, y=1118..1126
y=103, x=635..655
y=722, x=626..635
y=145, x=539..541
x=658, y=394..398
x=599, y=1479..1480
y=513, x=473..490
x=527, y=1056..1065
x=501, y=262..272
x=517, y=472..474
y=1154, x=481..600
y=547, x=582..604
y=1803, x=586..588
