71-97,71-72
12-75,15-82
31-52,23-53
2-74,6-82
94-95,10-95
54-54,50-53
37-68,37-50
27-75,26-76
9-30,8-10
46-74,68-68
26-39,18-50
44-45,39-39
96-97,67-95
30-90,75-89
30-85,6-86
90-92,58-91
33-36,32-36
65-96,65-66
35-69,59-63
27-47,26-27
16-86,74-90
46-78,78-79
22-85,22-86
95-95,14-94
58-59,17-59
33-58,33-72
75-75,41-75
15-35,36-49
20-90,27-91
8-69,9-70
64-99,65-84
5-80,1-80
1-2,2-99
23-32,28-29
54-56,53-61
13-56,55-56
86-87,5-67
6-88,6-72
26-95,26-96
75-85,4-75
1-44,1-44
4-7,20-50
5-96,99-99
19-69,18-69
38-91,92-98
99-99,17-97
11-22,10-27
14-76,12-97
3-54,2-53
46-81,82-91
14-15,33-99
34-35,17-35
5-79,2-63
10-57,9-74
16-38,39-89
83-86,30-82
9-72,8-35
10-70,69-70
51-86,81-91
4-72,4-71
31-91,20-28
33-98,30-32
27-87,86-87
45-45,47-88
5-57,5-47
16-90,15-89
21-99,18-85
2-34,33-68
44-58,35-57
8-65,8-66
15-39,16-40
47-67,3-48
18-84,19-84
4-98,99-99
34-77,34-76
50-50,50-63
98-99,2-99
41-95,41-42
34-48,35-48
85-94,95-96
13-38,22-38
81-82,18-81
8-86,22-86
62-97,34-70
26-73,25-73
53-58,35-53
58-80,79-81
14-41,7-13
2-21,4-22
12-98,11-97
7-73,6-73
1-94,1-96
26-82,25-27
23-76,45-77
7-78,7-78
29-72,72-72
7-8,7-37
12-24,13-25
88-91,32-89
17-76,16-23
23-40,2-14
99-99,15-88
8-85,2-86
10-89,18-90
8-97,7-93
8-98,8-97
2-12,3-63
90-90,4-90
7-23,15-22
50-96,9-26
10-80,4-9
1-85,84-85
20-22,21-70
20-83,4-21
8-32,7-33
25-45,34-46
5-34,34-97
19-91,90-91
16-96,78-95
9-64,10-63
7-8,8-55
32-50,2-31
4-16,16-16
8-99,44-97
48-73,58-74
50-80,49-49
57-58,29-58
72-76,72-74
59-75,75-85
19-98,34-97
7-94,99-99
2-95,3-95
61-78,61-79
96-98,13-97
27-82,50-90
98-99,4-99
2-95,1-88
5-66,3-70
13-26,23-42
25-55,24-55
56-56,56-56
50-98,97-97
33-85,3-32
6-45,46-64
6-57,59-88
64-72,64-65
30-92,30-92
5-46,1-5
5-89,4-70
16-69,16-68
4-88,4-81
4-94,3-93
44-47,44-46
21-38,21-46
81-86,80-86
41-96,64-87
37-73,37-73
15-75,1-99
2-36,2-35
3-94,1-2
3-87,87-88
9-9,7-9
12-97,96-98
42-89,88-89
29-85,30-50
3-4,3-94
57-92,58-93
16-95,2-8
1-98,10-90
31-65,31-72
5-87,4-5
40-45,46-75
88-95,46-98
26-87,8-17
24-27,23-27
12-99,12-97
5-99,6-99
68-77,31-42
68-91,68-87
35-35,5-35
2-66,2-3
20-32,20-33
8-88,6-88
8-82,9-81
10-97,11-97
12-59,13-59
17-32,23-63
14-15,15-19
99-99,21-89
94-99,36-93
60-65,43-67
8-97,9-58
10-52,27-32
85-91,84-90
34-88,5-87
18-43,15-17
4-99,3-99
2-97,18-79
16-56,40-84
5-5,7-91
11-97,11-99
76-77,77-77
11-90,94-97
22-23,1-23
6-43,5-99
7-85,84-85
11-12,12-92
8-89,6-75
44-64,45-63
51-95,8-29
21-54,20-77
20-87,20-84
11-25,24-24
52-54,52-55
15-16,19-66
54-91,13-53
35-98,35-41
47-48,6-48
83-89,82-83
27-83,26-28
38-92,93-96
51-76,51-63
1-3,7-13
10-96,11-47
58-98,2-95
69-69,61-73
4-89,2-3
7-58,3-15
76-93,8-94
5-20,4-19
16-23,16-17
30-85,31-85
16-70,15-16
67-67,52-68
30-99,29-31
49-71,55-70
32-94,94-94
82-93,24-83
31-94,32-40
62-79,62-80
9-84,9-9
8-97,1-97
36-37,36-51
76-77,53-77
47-49,17-48
73-75,55-77
50-85,51-86
63-63,53-62
5-15,5-5
19-99,19-90
2-63,2-22
21-75,22-22
18-97,19-69
79-92,11-91
13-23,23-23
4-94,3-3
6-82,19-83
34-50,35-37
15-99,15-96
5-58,4-57
19-56,46-93
11-73,12-78
37-42,26-41
53-65,30-39
46-47,45-47
56-99,55-97
82-86,44-83
49-55,37-48
3-96,96-96
46-52,45-52
2-36,9-37
99-99,1-99
11-70,18-91
60-75,74-75
6-97,6-96
33-66,4-95
15-58,34-59
19-86,18-19
25-43,30-81
11-66,10-65
2-49,1-99
55-77,76-78
61-87,75-79
3-93,2-92
2-2,5-56
5-99,9-98
34-46,46-84
35-36,35-86
15-17,16-43
46-51,50-55
8-8,7-17
5-98,4-87
44-58,43-58
5-41,5-42
6-27,10-16
78-78,40-79
17-88,29-87
12-69,12-69
26-78,26-58
77-95,95-95
42-49,46-48
19-69,19-97
33-77,76-76
47-49,48-76
3-99,3-4
7-34,33-34
61-91,92-99
67-83,9-83
10-91,90-91
42-83,42-43
29-31,35-90
8-80,8-74
8-95,8-99
7-80,5-8
5-12,11-12
8-89,7-93
42-93,42-94
29-85,28-84
72-72,72-90
59-77,77-77
96-99,23-97
16-30,30-84
8-69,8-68
2-98,2-98
44-98,43-98
5-6,5-98
9-90,11-51
1-3,2-98
15-69,55-70
6-94,6-94
88-89,21-89
62-79,78-78
2-71,47-72
53-61,22-60
93-97,10-92
64-64,65-70
10-10,6-13
21-78,81-95
88-94,2-88
13-62,13-14
67-67,58-67
33-38,13-39
40-51,4-39
18-86,86-92
10-97,10-97
5-13,10-40
4-94,3-5
11-71,10-12
27-31,25-27
6-95,4-4
5-99,14-98
12-71,57-72
39-76,39-76
57-76,48-81
20-64,20-94
25-25,24-26
14-74,8-13
5-92,5-91
1-96,1-96
8-51,4-56
5-95,15-96
24-80,30-45
31-98,31-94
1-33,33-56
38-54,23-39
61-83,43-77
30-38,13-37
10-71,10-11
41-59,42-60
4-49,5-50
14-14,2-85
4-7,1-2
91-92,3-91
3-78,23-77
13-74,85-96
53-86,14-33
67-95,66-94
12-13,12-93
4-99,3-47
19-86,20-85
5-98,5-90
3-89,3-90
66-67,63-67
55-72,14-71
4-5,5-80
17-94,16-94
18-71,36-70
45-49,44-49
27-90,27-82
15-31,15-30
8-57,28-98
1-41,1-42
19-20,19-41
15-92,91-92
37-73,10-36
26-63,63-71
27-30,28-81
22-87,22-23
56-56,1-56
59-89,27-58
88-89,56-87
32-39,32-66
96-96,2-97
25-56,24-56
3-94,4-95
20-93,5-92
16-70,42-71
4-89,8-90
20-83,20-82
31-88,30-88
73-73,3-72
11-97,9-99
3-23,22-52
21-96,20-83
4-65,5-21
37-37,8-37
4-95,2-4
10-71,11-73
35-81,36-81
1-5,6-79
28-39,27-39
2-92,1-85
12-97,62-96
20-91,21-91
88-98,3-70
20-66,74-76
84-99,47-84
17-95,18-93
57-78,49-78
15-17,16-81
51-84,41-54
49-74,22-92
